"Year","SubSurFaceSweptArea","Surface_SweptAreaRatio","Fishing_category_FO","Latitude","Longitude"
2010,0.000510490993064682,0.498031785934482,"Otter",58.675,-6.125
2013,0.10696954943913,0.00709701207651302,"Otter",49.275,-3.175
2009,0.00664700863102425,0.000118267154312422,"Otter",53.925,4.175
2010,0.000181778106726669,0.00106032307881192,"Otter",55.875,2.875
2012,0.0622518342485111,0.0311126768868824,"Otter",50.675,-6.375
2015,0.00000904866294084827,0.00120469808359146,"Beam",53.525,2.275
2009,0.286504106499211,0.00501861016597581,"Otter",76.575,33.175
2010,0.000260956095022882,0.000321799757582044,"Otter",75.925,18.325
2010,0.0140060518802173,0.0749654066436267,"Otter",52.275,-10.925
2010,0.59275370987502,0.000164381851013216,"Otter",54.425,3.375
2015,2.29507997190915,0.0266043813605797,"Otter",52.875,-9.425
2014,0.943391355315277,0.0000000183089393601208,"Otter",61.725,0.675
2015,0.00000879638315966312,0.017763564284867,"Otter",58.075,10.975
2014,0.00382246511377411,0.0642934555693029,"Otter",75.325,42.425
2011,0.0347475997873483,0.00248399209274079,"Otter",53.375,-11.775
2012,0.0446488810136545,0.0420322664610449,"Otter",40.425,-9.175
2015,0.180677196306941,0.00000750205228078559,"Otter",59.475,-6.925
2010,0.000151840442842551,0.0413991246081105,"Otter",49.975,-10.975
2010,1.76130684612442,0.000137556329453596,"Otter",45.325,-1.925
2011,0.000259041568434795,0.00844457465478827,"Otter",58.025,10.225
2012,1.86571859716741,0.00348127362519288,"Otter",57.525,-9.475
2014,0.0000917974540665493,0.0115222671078839,"Otter",69.175,14.575
2015,0.00111361775084174,0.00128703773300949,"Demersal seine",46.475,-4.525
2014,0.00134183925849387,0.319857272851631,"Demersal seine",45.525,-1.675
2014,0.0277803738805476,0.0554036730283128,"Dredge",51.125,2.425
2010,0.000708913001741842,0.00877176290220938,"Otter",58.725,-0.675
2009,0.0279153509660617,0.0107138122956875,"Otter",50.025,1.275
